"Air Quality Statistics by City, 2023",,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  PM2.5 summary statistics are based on AQS data as of August 12, 2024.  All other pollutant summary statistics as of May 7, 2024.",,,,,,,,,,,
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Kahului-Wailuku-Lahaina, HI",154924,27980,ND,ND,ND,ND,ND,ND,4,8,ND
"Kalamazoo-Portage, MI",326589,28020,ND,ND,ND,ND,0.071,ND,12.9,IN,ND
"Kalispell, MT",90928,28060,ND,ND,ND,ND,0.057,96,9.5,40,ND
"Kansas City, MO-KS",2009342,28140,1,ND,11,45,0.077,256,9.6,27,6
"Kapaa, HI",67091,28180,ND,ND,ND,ND,ND,ND,IN,IN,IN
"Keene, NH",77117,28300,ND,ND,ND,ND,0.06,ND,7.5,21,ND
"Kennewick-Richland, WA",253340,28420,ND,ND,ND,ND,0.067,185,IN,IN,ND
"Ketchikan, AK",13477,28540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Killeen-Temple, TX",405300,28660,ND,ND,2,23,0.076,ND,7.7,22,ND
"Kingsport-Bristol-Bristol, TN-VA",309544,28700,ND,0.26,ND,ND,0.065,ND,8.4,22,61
"Kingsville, TX",32477,28780,ND,ND,ND,ND,ND,ND,9.4,24,ND
"Kinston, NC",59495,28820,ND,ND,ND,ND,0.067,23,IN,IN,ND
"Klamath Falls, OR",66380,28900,ND,ND,ND,ND,ND,ND,9.5,34,ND
"Knoxville, TN",837571,28940,1,0.06,1,IN,0.071,68,9.6,26,IN
"Kokomo, IN",82752,29020,ND,ND,ND,ND,0.074,ND,8.6,25,ND
"Laconia, NH",60088,29060,ND,ND,ND,ND,0.062,ND,5.1,16,ND
"La Crosse-Onalaska, WI-MN",133665,29100,ND,ND,ND,ND,0.076,ND,9.2,35,ND
"Lafayette, LA",466750,29180,ND,ND,ND,ND,0.068,48,8.2,15,ND
"Lafayette-West Lafayette, IN",201789,29200,ND,ND,ND,ND,0.074,ND,9.2,26,ND
"La Grande, OR",25748,29260,ND,ND,ND,ND,ND,30,IN,IN,ND
"Lake Charles, LA",199607,29340,ND,ND,5,25,0.07,65,10,23,6
"Lake City, FL",67531,29380,ND,ND,ND,ND,0.061,ND,ND,ND,ND
"Lake Havasu City-Kingman, AZ",200186,29420,ND,ND,ND,ND,ND,138,IN,IN,ND
"Lakeland-Winter Haven, FL",602095,29460,ND,ND,ND,ND,0.066,51,IN,IN,15
"Lancaster, PA",519445,29540,ND,0.03,ND,ND,0.069,107,10.2,33,ND
"Lansing-East Lansing, MI",464036,29620,ND,ND,6,32,0.069,ND,IN,48,2
"Laramie, WY",36299,29660,ND,ND,IN,IN,0.065,195,2.5,8,IN
"Laredo, TX",250304,29700,1,ND,ND,ND,0.068,62,9.1,28,ND
"Las Cruces, NM",209233,29740,ND,ND,8,48,0.073,265,8.3,18,ND
"Las Vegas-Henderson-Paradise, NV",1951269,29820,2,ND,20,52,0.074,209,8.2,27,5
"Laurel, MS",84823,29860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lawrenceburg, TN",41869,29980,ND,ND,ND,ND,ND,ND,8.3,19,ND
"Lawton, OK",130291,30020,ND,ND,ND,ND,0.071,ND,6.9,17,ND
"Lebanon, PA",133568,30140,ND,ND,ND,ND,0.07,ND,9.4,28,ND
"Lewiston, ID-WA",60888,30300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lewiston-Auburn, ME",107702,30340,ND,ND,ND,ND,0.058,22,5.3,17,ND
"Lexington-Fayette, KY",472099,30460,ND,ND,6,39,0.07,28,8.3,27,7
"Lima, OH",106331,30620,ND,ND,ND,ND,0.072,ND,8.5,35,3
"Lincoln, NE",302157,30700,ND,ND,ND,ND,0.068,ND,IN,IN,ND
"Little Rock-North Little Rock-Conway, AR",699757,30780,1,ND,3,13,0.07,39,10.8,23,4
"Logan, UT-ID",125442,30860,ND,ND,5,37,0.067,ND,7.5,38,ND
"London, KY",126369,30940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Longview, TX",214369,30980,ND,ND,2,22,0.067,ND,IN,IN,13
"Longview, WA",102410,31020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Los Angeles-Long Beach-Anaheim, CA",12828837,31080,3,0.02,21,61,0.103,124,11.1,28,8
"Louisville/Jefferson County, KY-IN",1235708,31140,2,ND,13,47,0.075,96,10.7,32,13
"Lubbock, TX",290805,31180,ND,ND,ND,ND,ND,ND,5.3,15,ND
"Ludington, MI",28705,31220,ND,ND,ND,ND,0.069,ND,ND,ND,ND
"Lumberton, NC",134168,31300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lynchburg, VA",252634,31340,ND,ND,ND,ND,ND,ND,7.7,23,ND
"Macon, GA",232293,31420,ND,ND,ND,ND,0.068,ND,11.1,27,3
"Madera, CA",150865,31460,ND,ND,5,24,0.077,114,9.9,28,ND
"Madison, WI",605435,31540,ND,ND,ND,ND,0.082,208,10.7,39,ND
"Manchester-Nashua, NH",400721,31700,1,ND,ND,ND,0.067,ND,4.5,20,1
"Manitowoc, WI",81442,31820,ND,ND,ND,ND,0.069,ND,IN,IN,ND
"Mankato-North Mankato, MN",96740,31860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Marietta, OH",61778,31930,ND,0,ND,ND,0.064,ND,ND,ND,26
"Marion, NC",44996,32000,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Marion, OH",66501,32020,ND,0.02,ND,ND,ND,ND,ND,ND,ND
"Marshall, MN",25857,32140,ND,ND,ND,ND,0.071,ND,9.6,43,ND
"Marshall, TX",65631,32220,ND,ND,2,IN,0.065,ND,8.7,18,10
"Mason City, IA",51749,32380,ND,ND,ND,ND,ND,62,IN,IN,ND
"Mayagüez, PR",106330,32420,ND,ND,ND,ND,0.043,ND,IN,IN,ND
"McAlester, OK",45837,32540,ND,0.01,ND,ND,0.072,ND,8.3,19,ND
"McAllen-Edinburg-Mission, TX",774769,32580,ND,ND,ND,ND,0.051,47,IN,IN,ND
"Medford, OR",203206,32780,ND,ND,ND,ND,0.062,IN,IN,135,ND
"Memphis, TN-MS-AR",1324829,32820,1,ND,9,38,0.074,67,10.6,27,2
"Merced, CA",255793,32900,ND,ND,6,33,0.075,105,9.6,32,ND
"Meridian, MS",107449,32940,ND,ND,ND,ND,0.059,ND,IN,IN,ND
"Miami, OK",31848,33060,ND,0.05,ND,ND,0.071,112,9.5,24,ND
"Miami-Fort Lauderdale-West Palm Beach, FL",5564635,33100,2,ND,15,53,0.066,65,9.4,24,2
"Michigan City-La Porte, IN",111467,33140,ND,ND,ND,ND,0.077,ND,8.7,20,ND
"Middlesborough, KY",28691,33180,ND,ND,ND,ND,0.061,ND,9.4,24,ND
"Milwaukee-Waukesha-West Allis, WI",1555908,33340,1,ND,11,46,0.08,209,11,39,3
"Minneapolis-St. Paul-Bloomington, MN-WI",3348859,33460,4,0.46,12,45,0.079,118,10.6,41,14
"Minot, ND",69540,33500,ND,ND,2,11,0.075,ND,9.2,53,8
"Missoula, MT",109299,33540,ND,ND,ND,ND,0.055,50,9.8,25,ND
"Mobile, AL",412992,33660,ND,ND,ND,ND,0.064,47,8.7,19,IN
"Modesto, CA",514453,33700,1,ND,8,39,0.077,121,10.5,33,ND
"Monroe, LA",176441,33740,ND,ND,ND,ND,0.065,ND,8.3,20,ND
"Monroe, MI",152021,33780,ND,ND,ND,ND,ND,79,IN,IN,ND
"Montgomery, AL",374536,33860,ND,ND,ND,ND,0.065,32,10.3,21,ND
"Morehead City, NC",66469,33980,ND,ND,ND,ND,0.07,ND,ND,ND,ND
"Morgantown, WV",129709,34060,ND,ND,ND,ND,0.066,ND,8.3,26,10
"Morristown, TN",113951,34100,ND,ND,ND,ND,0.066,ND,ND,ND,ND
"Moscow, ID",37244,34140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Moses Lake, WA",89120,34180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Mount Pleasant, TX",32334,34420,ND,ND,ND,ND,ND,ND,ND,ND,18
"Mount Vernon, IL",38827,34500,ND,ND,ND,ND,0.074,ND,8.6,23,ND
"Mount Vernon, OH",60921,34540,ND,ND,ND,ND,0.069,ND,ND,ND,ND
"Mount Vernon-Anacortes, WA",116901,34580,ND,ND,ND,ND,0.046,ND,5.3,12,4
"Muncie, IN",117671,34620,ND,0.03,ND,ND,0.071,ND,8.3,25,ND
"Muscatine, IA",42745,34700,ND,ND,ND,ND,ND,52,9.7,24,9
"Muskegon, MI",172188,34740,ND,ND,ND,ND,0.075,ND,IN,IN,ND
"Muskogee, OK",70990,34780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722,34820,ND,ND,ND,ND,0.067,ND,7.9,23,ND
"Napa, CA",136484,34900,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Naples-Immokalee-Marco Island, FL",321520,34940,ND,ND,ND,ND,0.062,ND,ND,ND,ND
"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890,34980,2,ND,13,52,0.076,57,10.2,25,6
"Natchez, MS-LA",53119,35020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"New Castle, IN",49462,35220,ND,ND,ND,ND,ND,ND,9.4,39,ND
"New Castle, PA",91108,35260,ND,0.01,ND,ND,0.059,ND,ND,ND,ND
"New Haven-Milford, CT",862477,35300,1,ND,11,50,0.078,34,8.5,25,2
"New Orleans-Metairie, LA",1189866,35380,2,0.02,8,39,0.071,49,9.4,19,52
"New York-Newark-Jersey City, NY-NJ-PA",19567410,35620,2,ND,19,60,0.076,41,10.5,40,5
"Niles-Benton Harbor, MI",156813,35660,ND,ND,ND,ND,0.078,ND,IN,IN,ND
"Nogales, AZ",47420,35700,ND,ND,ND,ND,ND,126,7.6,26,ND
"North Platte, NE",37590,35820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"North Port-Sarasota-Bradenton, FL",702281,35840,ND,ND,ND,ND,0.066,53,7,16,IN
"Norwich-New London, CT",274055,35980,ND,ND,ND,ND,0.073,ND,7.2,24,ND
"Ocala, FL",331298,36100,ND,ND,ND,ND,0.062,ND,IN,IN,ND
"Odessa, TX",137130,36220,ND,ND,ND,ND,ND,ND,6.8,16,ND
"Ogden-Clearfield, UT",597159,36260,1,ND,12,51,0.073,69,7.3,26,ND
"Ogdensburg-Massena, NY",111944,36300,ND,ND,ND,ND,ND,ND,IN,IN,73
"Oklahoma City, OK",1252987,36420,1,ND,12,29,0.074,89,9.2,21,1
"Olympia-Tumwater, WA",252264,36500,ND,ND,ND,ND,0.055,ND,IN,IN,ND
"Omaha-Council Bluffs, NE-IA",865350,36540,1,0.06,ND,ND,0.082,79,9.7,33,39
"Orangeburg, SC",92501,36700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Orlando-Kissimmee-Sanford, FL",2134411,36740,1,ND,IN,IN,0.069,54,6.8,16,4
"Oshkosh-Neenah, WI",166994,36780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Othello, WA",18728,36830,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ottawa-Peru, IL",154908,36860,ND,ND,ND,ND,ND,ND,IN,IN,16
"Owensboro, KY",114752,36980,ND,ND,IN,IN,0.074,ND,IN,IN,IN
"Oxford, NC",59916,37080,ND,ND,ND,ND,0.066,ND,ND,ND,ND
"Oxnard-Thousand Oaks-Ventura, CA",823318,37100,ND,ND,5,29,0.076,71,6.5,16,ND
"Paducah, KY-IL",98762,37140,ND,ND,5,30,0.072,ND,8.5,22,10
"Pahrump, NV",43946,37220,ND,ND,ND,ND,ND,232,ND,ND,ND
"Palatka, FL",74364,37260,ND,ND,ND,ND,ND,53,ND,ND,IN
"Palm Bay-Melbourne-Titusville, FL",543376,37340,ND,ND,ND,ND,0.064,58,6.5,14,ND
"Panama City, FL",184715,37460,ND,ND,ND,ND,0.061,ND,IN,IN,ND
"Parkersburg-Vienna, WV",92673,37620,ND,ND,ND,ND,0.069,ND,8.9,27,28
"Payson, AZ",53597,37740,ND,0.05,ND,ND,0.076,123,IN,IN,68
"Pensacola-Ferry Pass-Brent, FL",448991,37860,ND,ND,ND,ND,0.066,56,9.4,21,7
"Peoria, IL",379186,37900,ND,ND,ND,ND,0.08,ND,IN,IN,5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343,37980,1,0,15,48,0.074,174,13.3,37,5
"Phoenix-Mesa-Scottsdale, AZ",4192887,38060,2,ND,24,58,0.083,387,9.8,32,4
"Picayune, MS",55834,38100,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Pierre, SD",21361,38180,ND,ND,ND,ND,ND,ND,5.1,32,ND
"Pine Bluff, AR",100258,38220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Pittsburgh, PA",2356285,38300,3,0,9,38,0.071,168,12,36,65
"Pittsfield, MA",131219,38340,ND,ND,ND,ND,0.065,ND,7.7,27,ND
"Platteville, WI",51208,38420,ND,ND,ND,ND,ND,ND,10.4,34,ND
"Pocatello, ID",82839,38540,ND,ND,ND,ND,0.057,655,IN,IN,42
"Point Pleasant, WV-OH",58258,38580,ND,ND,ND,ND,ND,ND,ND,ND,52
"Ponca City, OK",46562,38620,ND,ND,ND,ND,ND,ND,9.2,22,5
"Ponce, PR",350480,38660,10,ND,ND,ND,ND,109,IN,IN,ND
"Port Angeles, WA",71404,38820,0,ND,ND,ND,0.05,ND,IN,IN,IN
"Portland-South Portland, ME",514098,38860,ND,ND,6,IN,0.062,91,8.2,30,ND
"Portland-Vancouver-Hillsboro, OR-WA",2226009,38900,1,ND,9,29,0.068,27,6.5,25,IN
"Port St. Lucie, FL",424107,38940,ND,ND,ND,ND,0.059,70,6.8,15,ND
"Portsmouth, OH",79499,39020,ND,ND,ND,ND,ND,122,8.9,34,12
"Prescott, AZ",211033,39140,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Price, UT",21403,39220,ND,ND,2,IN,0.059,ND,3.6,7,ND
"Prineville, OR",20978,39260,ND,ND,ND,ND,ND,ND,8.6,49,ND
"Providence-Warwick, RI-MA",1600852,39300,2,ND,13,35,0.075,29,8.2,29,3
"Provo-Orem, UT",526810,39340,1,ND,8,39,0.066,76,6.8,21,ND
"Pueblo, CO",159063,39380,ND,ND,ND,ND,0.067,61,5.2,10,ND
"Pullman, WA",44776,39420,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Quincy, IL-MO",77314,39500,ND,ND,ND,ND,0.076,ND,IN,IN,ND
"Raleigh, NC",1130490,39580,1,ND,9,36,0.064,60,9.2,31,2
"Rapid City, SD",134598,39660,ND,ND,4,31,0.068,191,8.4,31,2
"Reading, PA",411442,39740,ND,0.02,ND,ND,0.074,ND,10.2,29,3
"Red Bluff, CA",63463,39780,ND,ND,ND,ND,0.069,69,6.1,15,ND
"Redding, CA",177223,39820,ND,ND,ND,ND,0.067,27,6.8,21,ND
"Red Wing, MN",46183,39860,ND,ND,ND,ND,0.072,ND,ND,ND,ND
"Reno, NV",425417,39900,2,ND,11,49,0.067,63,7.2,18,3
"Richmond, VA",1208101,40060,1,ND,13,47,0.067,65,8.7,28,3
"Richmond-Berea, KY",99972,40080,ND,0.03,ND,ND,ND,ND,IN,IN,ND
"Riverside-San Bernardino-Ontario, CA",4224851,40140,1,0.01,27,69,0.107,619,12.3,37,2
"Riverton, WY",40123,40180,ND,ND,4,28,0.065,46,6.3,20,124
"Roanoke, VA",308707,40220,1,ND,5,31,0.064,ND,8,28,3
"Roanoke Rapids, NC",76790,40260,ND,ND,1,12,ND,ND,7.9,25,ND
"Rochester, MN",206877,40340,ND,ND,ND,ND,0.074,ND,9.6,33,ND
"Rochester, NY",1079671,40380,1,ND,7,29,0.067,50,8.4,28,2
"Rockford, IL",349431,40420,ND,ND,ND,ND,0.08,ND,10.5,34,ND
"Rockland, ME",7297,"Rockland, ME",7297,"Rockland, ME",7297,"Rockland, ME",7297,"Rockland, ME",7297,"Rockland, ME",7297
"Rock Springs, WY",43806,40540,ND,ND,3,13,0.076,106,3.7,11,15
"Rocky Mount, NC",152392,40580,ND,ND,ND,ND,0.063,ND,IN,IN,ND
"Rome, GA",96317,40660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Roseburg, OR",107667,40700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Roswell, NM",65645,40740,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Russellville, AR",83939,40780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Rutland, VT",61642,40860,1,ND,5,30,0.063,34,7.2,21,1
"Sacramento--Roseville--Arden-Arcade, CA",2149127,40900,IN,ND,9,33,0.077,57,9.4,28,2
"Saginaw, MI",200169,40980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"St. Cloud, MN",189093,41060,ND,ND,ND,ND,0.073,ND,9.4,34,ND
"St. George, UT",138115,41100,ND,ND,4,29,0.064,ND,4.3,9,ND
"St. Joseph, MO-KS",127329,41140,ND,ND,ND,ND,0.072,73,9.5,22,ND
"St. Louis, MO-IL",2787701,41180,2,0.1,10,43,0.082,160,11.3,26,38
"St. Marys, PA",13070,41260,ND,ND,ND,ND,0.067,ND,ND,ND,ND
"Salem, OH",107841,41400,ND,0.02,ND,ND,ND,47,ND,ND,ND
"Salem, OR",390738,41420,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Salina, KS",61697,41460,ND,0.03,ND,ND,ND,ND,ND,ND,ND
"Salinas, CA",415057,41500,1,ND,3,24,0.053,67,7.7,18,ND
"Salisbury, MD-DE",373802,41540,ND,ND,ND,ND,0.068,ND,9,29,ND
"Salt Lake City, UT",1087873,41620,1,ND,16,57,0.076,79,8.6,31,5
"San Antonio-New Braunfels, TX",2142508,41700,1,ND,8,37,0.076,50,9,26,2
"San Diego-Carlsbad, CA",3095313,41740,1,0.02,14,49,0.08,142,12.5,24,IN
"Sandpoint, ID",40877,41760,ND,ND,ND,ND,ND,82,IN,IN,ND
"Sanford, NC",57866,41820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"San Francisco-Oakland-Hayward, CA",4335391,41860,4,ND,11,102,0.069,48,9.9,23,18
"San Jose-Sunnyvale-Santa Clara, CA",1836911,41940,1,0.02,13,44,0.067,59,8.2,25,2
"San Juan-Carolina-Caguas, PR",2350126,41980,2,ND,IN,IN,0.033,73,6.9,20,0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637,42020,ND,ND,4,29,0.073,127,6.8,19,2
"Santa Cruz-Watsonville, CA",262382,42100,ND,ND,ND,ND,0.051,ND,5.6,15,ND
"Santa Fe, NM",144170,42140,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Santa Maria-Santa Barbara, CA",423895,42200,1,ND,2,18,0.062,81,8,19,2
"Santa Rosa, CA",483878,42220,1,ND,3,25,0.046,48,5,17,ND
"Sault Ste. Marie, MI",38520,42300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Savannah, GA",347611,42340,ND,ND,ND,ND,0.061,ND,8.8,24,44
"Sayre, PA",62622,42380,ND,ND,ND,ND,0.067,ND,IN,IN,ND
"Scottsbluff, NE",38971,42420,ND,ND,ND,ND,ND,ND,5.4,20,ND
"Scranton--Wilkes-Barre--Hazleton, PA",563631,42540,1,ND,10,46,0.067,90,9.3,28,2
"Searcy, AR",77076,42620,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Seattle-Tacoma-Bellevue, WA",3439809,42660,1,ND,15,50,0.068,17,8.5,29,3
"Sebastian-Vero Beach, FL",138028,42680,ND,ND,ND,ND,0.058,ND,ND,ND,ND
"Sebring, FL",98786,42700,ND,ND,ND,ND,0.062,ND,ND,ND,ND
"Seneca, SC",74273,42860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sevierville, TN",89889,42940,ND,ND,ND,ND,0.069,ND,ND,ND,ND
"Shawnee, OK",69442,43060,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sheboygan, WI",115507,43100,ND,ND,ND,ND,0.082,ND,ND,ND,ND
"Shelton, WA",60699,43220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sheridan, WY",29116,43260,ND,ND,ND,ND,0.038,60,6.8,24,ND
"Show Low, AZ",107449,43320,ND,ND,ND,ND,0.063,39,ND,ND,ND
"Shreveport-Bossier City, LA",439811,43340,ND,ND,ND,ND,0.066,73,IN,IN,4
"Sierra Vista-Douglas, AZ",131346,43420,ND,ND,ND,ND,0.067,80,IN,IN,ND
"Silver City, NM",29514,43500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sioux City, IA-NE-SD",168563,43580,ND,ND,ND,ND,ND,ND,9.7,28,ND
"Sioux Falls, SD",228261,43620,IN,ND,5,40,0.082,80,IN,IN,1
"Somerset, KY",63063,43700,ND,ND,ND,ND,0.063,ND,8,22,ND
"Somerset, PA",77742,43740,ND,ND,ND,ND,0.067,ND,ND,ND,ND
"Sonora, CA",55365,43760,ND,ND,ND,ND,0.067,ND,ND,ND,ND
"South Bend-Mishawaka, IN-MI",319224,43780,ND,ND,4,30,0.075,ND,10.5,32,ND
"Spartanburg, SC",313268,43900,ND,ND,ND,ND,0.07,ND,8.9,23,ND
"Spokane-Spokane Valley, WA",527753,44060,ND,ND,ND,ND,0.062,189,10.1,31,ND
"Springfield, IL",210170,44100,ND,ND,ND,ND,0.077,ND,9.6,22,ND
"Springfield, MA",621570,44140,ND,ND,10,41,0.065,62,8.9,24,2
"Springfield, MO",436712,44180,ND,ND,ND,ND,0.072,65,7.7,19,ND
"Springfield, OH",138333,44220,ND,ND,ND,ND,0.069,ND,10,33,ND
"State College, PA",153990,44300,ND,ND,4,25,0.069,ND,8.9,31,2
"Steamboat Springs, CO",23509,44460,ND,ND,ND,ND,ND,60,IN,IN,ND
"Stillwater, OK",77350,44660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Stockton-Lodi, CA",685306,44700,1,ND,8,23,0.064,113,7.9,30,ND
"Summerville, GA",26015,44900,ND,ND,ND,ND,0.063,ND,ND,ND,ND
"Syracuse, NY",662577,45060,ND,ND,ND,ND,0.07,ND,7.8,31,ND
"Tahlequah, OK",46987,45140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Talladega-Sylacauga, AL",93830,45180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Tallahassee, FL",367413,45220,1,ND,ND,ND,0.059,ND,8.1,18,2
"Tampa-St. Petersburg-Clearwater, FL",2783243,45300,1,0.05,9,36,0.069,76,7.8,16,48
"Taos, NM",32937,45340,ND,ND,ND,ND,ND,ND,4,12,ND
"Terre Haute, IN",172425,45460,ND,ND,ND,ND,0.072,ND,10.5,27,4
"Texarkana, TX-AR",149198,45500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"The Dalles, OR",25213,45520,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Toledo, OH",610001,45780,ND,0.01,ND,ND,0.074,IN,10.5,33,15
"Topeka, KS",233870,45820,ND,ND,ND,ND,0.074,108,8.9,22,ND
"Torrington, CT",189927,45860,1,ND,ND,ND,0.076,ND,6,23,1
"Traverse City, MI",143372,45900,ND,ND,ND,ND,0.07,ND,IN,IN,ND
"Trenton, NJ",366513,45940,ND,ND,ND,ND,0.071,ND,10,26,ND
"Troy, AL",32899,45980,ND,0.15,ND,ND,ND,ND,ND,ND,ND
"Truckee-Grass Valley, CA",98764,46020,ND,ND,ND,ND,0.07,ND,4.7,12,ND
"Tucson, AZ",980263,46060,1,ND,13,39,0.07,201,7.8,16,1
"Tulsa, OK",937478,46140,1,ND,6,33,0.078,101,9.3,20,3
"Tupelo, MS",136268,46180,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Tuscaloosa, AL",230162,46220,ND,ND,ND,ND,0.063,ND,8.1,21,ND
"Twin Falls, ID",99604,46300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Tyler, TX",209714,46340,ND,ND,2,15,0.071,ND,ND,ND,ND
"Ukiah, CA",87841,46380,ND,ND,ND,ND,0.049,62,12.1,32,ND
"Urban Honolulu, HI",953207,46520,0,ND,3,23,0.046,46,4.1,10,60
"Utica-Rome, NY",299397,46540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Valdosta, GA",139588,46660,ND,ND,ND,ND,ND,ND,9.5,25,ND
"Vallejo-Fairfield, CA",413344,46700,2,ND,6,IN,0.061,32,5.9,16,3
"Vermillion, SD",13864,46820,ND,ND,ND,ND,0.074,ND,8.7,41,ND
"Vernal, UT",32588,46860,ND,ND,5,38,0.098,ND,6.6,24,ND
"Vicksburg, MS",58377,46980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Victoria, TX",94003,47020,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Vincennes, IN",38440,47180,ND,ND,ND,ND,0.075,ND,IN,IN,ND
"Vineland-Bridgeton, NJ",156898,47220,ND,ND,5,34,0.068,ND,8.3,24,ND
"Vineyard Haven, MA",16535,47240,ND,ND,ND,ND,0.073,ND,ND,ND,ND
"Virginia Beach-Norfolk-Newport News, VA-NC",1676822,47260,1,ND,8,37,0.066,62,8.1,28,3
"Visalia-Porterville, CA",442179,47300,ND,ND,7,36,0.087,104,11.7,70,ND
"Wabash, IN",32888,47340,ND,ND,ND,ND,0.07,ND,ND,ND,ND
"Waco, TX",252772,47380,1,ND,ND,ND,0.076,ND,IN,IN,5
"Walla Walla, WA",62859,47460,ND,ND,ND,ND,0.057,201,IN,IN,ND
"Walterboro, SC",5401,47500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Warner Robins, GA",179605,47580,ND,ND,ND,ND,ND,ND,9.4,23,ND
"Warren, PA",41815,47620,ND,ND,ND,ND,ND,ND,ND,ND,41
"Washington, NC",47759,47820,ND,ND,ND,ND,ND,ND,ND,ND,9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232,47900,2,ND,16,47,0.076,142,9.7,33,3
"Waterloo-Cedar Falls, IA",167819,47940,ND,ND,ND,ND,0.078,ND,9.5,25,ND
"Watertown, SD",27227,47980,ND,ND,ND,ND,0.072,103,9.5,29,ND
"Watertown-Fort Atkinson, WI",83686,48020,ND,ND,ND,ND,0.079,ND,IN,IN,ND
"Watertown-Fort Drum, NY",116229,48060,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Wausau, WI",134063,48140,ND,ND,ND,ND,0.075,ND,IN,IN,ND
"Weatherford, OK",27469,48220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Weirton-Steubenville, WV-OH",124454,48260,ND,ND,ND,ND,0.071,207,10,25,31
"Wenatchee, WA",110884,48300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"West Plains, MO",40400,48460,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Wheeling, WV-OH",147950,48540,ND,ND,4,27,0.07,45,10.5,31,7
"Whitewater-Elkhorn, WI",102228,48580,ND,ND,ND,ND,0.082,ND,ND,ND,ND
"Wichita, KS",630919,48620,ND,ND,6,23,0.068,99,IN,IN,2
"Williamsport, PA",116111,48700,ND,ND,ND,ND,0.069,ND,IN,IN,ND
"Williston, ND",22398,48780,ND,ND,ND,ND,ND,ND,IN,IN,9
"Willmar, MN",42239,48820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Wilmington, NC",254884,48900,ND,ND,ND,ND,0.067,45,6.8,19,ND
